STATE.UT,Year,HDI
A & N ISLANDS,2001,0.695
A & N ISLANDS,2002,0.698
A & N ISLANDS,2003,0.709
A & N ISLANDS,2004,0.714
A & N ISLANDS,2005,0.72
A & N ISLANDS,2006,0.726
A & N ISLANDS,2007,0.722
A & N ISLANDS,2008,0.716
A & N ISLANDS,2009,0.709
A & N ISLANDS,2010,0.707
A & N ISLANDS,2011,0.703
A & N ISLANDS,2012,0.701
A & N ISLANDS,2013,0.706
A & N ISLANDS,2014,0.714
ANDHRA PRADESH,2001,0.484
ANDHRA PRADESH,2002,0.493
ANDHRA PRADESH,2003,0.508
ANDHRA PRADESH,2004,0.519
ANDHRA PRADESH,2005,0.53
ANDHRA PRADESH,2006,0.542
ANDHRA PRADESH,2007,0.553
ANDHRA PRADESH,2008,0.562
ANDHRA PRADESH,2009,0.568
ANDHRA PRADESH,2010,0.58
ANDHRA PRADESH,2011,0.59
ANDHRA PRADESH,2012,0.6
ANDHRA PRADESH,2013,0.608
ANDHRA PRADESH,2014,0.62
ARUNACHAL PRADESH,2001,0.506
ARUNACHAL PRADESH,2002,0.51
ARUNACHAL PRADESH,2003,0.521
ARUNACHAL PRADESH,2004,0.528
ARUNACHAL PRADESH,2005,0.535
ARUNACHAL PRADESH,2006,0.543
ARUNACHAL PRADESH,2007,0.57
ARUNACHAL PRADESH,2008,0.594
ARUNACHAL PRADESH,2009,0.616
ARUNACHAL PRADESH,2010,0.641
ARUNACHAL PRADESH,2011,0.665
ARUNACHAL PRADESH,2012,0.689
ARUNACHAL PRADESH,2013,0.679
ARUNACHAL PRADESH,2014,0.672
ASSAM,2001,0.493
ASSAM,2002,0.5
ASSAM,2003,0.513
ASSAM,2004,0.522
ASSAM,2005,0.531
ASSAM,2006,0.542
ASSAM,2007,0.549
ASSAM,2008,0.554
ASSAM,2009,0.558
ASSAM,2010,0.567
ASSAM,2011,0.574
ASSAM,2012,0.582
ASSAM,2013,0.586
ASSAM,2014,0.593
BIHAR,2001,0.44
BIHAR,2002,0.444
BIHAR,2003,0.455
BIHAR,2004,0.463
BIHAR,2005,0.47
BIHAR,2006,0.478
BIHAR,2007,0.488
BIHAR,2008,0.497
BIHAR,2009,0.504
BIHAR,2010,0.514
BIHAR,2011,0.524
BIHAR,2012,0.533
BIHAR,2013,0.539
BIHAR,2014,0.55
CHANDIGARH,2001,0.638
CHANDIGARH,2002,0.641
CHANDIGARH,2003,0.652
CHANDIGARH,2004,0.657
CHANDIGARH,2005,0.663
CHANDIGARH,2006,0.669
CHANDIGARH,2007,0.665
CHANDIGARH,2008,0.658
CHANDIGARH,2009,0.651
CHANDIGARH,2010,0.648
CHANDIGARH,2011,0.645
CHANDIGARH,2012,0.643
CHANDIGARH,2013,0.672
CHANDIGARH,2014,0.704
CHHATTISGARH,2001,0.564
CHHATTISGARH,2002,0.567
CHHATTISGARH,2003,0.577
CHHATTISGARH,2004,0.582
CHHATTISGARH,2005,0.588
CHHATTISGARH,2006,0.594
CHHATTISGARH,2007,0.589
CHHATTISGARH,2008,0.583
CHHATTISGARH,2009,0.576
CHHATTISGARH,2010,0.574
CHHATTISGARH,2011,0.571
CHHATTISGARH,2012,0.569
CHHATTISGARH,2013,0.576
CHHATTISGARH,2014,0.586
D & N HAVELI,2001,0.684
D & N HAVELI,2002,0.686
D & N HAVELI,2003,0.698
D & N HAVELI,2004,0.703
D & N HAVELI,2005,0.709
D & N HAVELI,2006,0.716
D & N HAVELI,2007,0.711
D & N HAVELI,2008,0.705
D & N HAVELI,2009,0.698
D & N HAVELI,2010,0.696
D & N HAVELI,2011,0.692
D & N HAVELI,2012,0.69
D & N HAVELI,2013,0.68
D & N HAVELI,2014,0.673
DAMAN & DIU,2001,0.665
DAMAN & DIU,2002,0.668
DAMAN & DIU,2003,0.678
DAMAN & DIU,2004,0.683
DAMAN & DIU,2005,0.688
DAMAN & DIU,2006,0.695
DAMAN & DIU,2007,0.691
DAMAN & DIU,2008,0.685
DAMAN & DIU,2009,0.679
DAMAN & DIU,2010,0.677
DAMAN & DIU,2011,0.673
DAMAN & DIU,2012,0.672
DAMAN & DIU,2013,0.676
DAMAN & DIU,2014,0.684
DELHI (UT),2001,0.666
DELHI (UT),2002,0.668
DELHI (UT),2003,0.679
DELHI (UT),2004,0.685
DELHI (UT),2005,0.69
DELHI (UT),2006,0.697
DELHI (UT),2007,0.702
DELHI (UT),2008,0.704
DELHI (UT),2009,0.704
DELHI (UT),2010,0.709
DELHI (UT),2011,0.711
DELHI (UT),2012,0.716
DELHI (UT),2013,0.719
DELHI (UT),2014,0.726
GOA,2001,0.621
GOA,2002,0.63
GOA,2003,0.647
GOA,2004,0.659
GOA,2005,0.671
GOA,2006,0.685
GOA,2007,0.699
GOA,2008,0.711
GOA,2009,0.721
GOA,2010,0.737
GOA,2011,0.749
GOA,2012,0.764
GOA,2013,0.759
GOA,2014,0.758
GUJARAT,2001,0.533
GUJARAT,2002,0.54
GUJARAT,2003,0.554
GUJARAT,2004,0.564
GUJARAT,2005,0.573
GUJARAT,2006,0.584
GUJARAT,2007,0.591
GUJARAT,2008,0.595
GUJARAT,2009,0.598
GUJARAT,2010,0.606
GUJARAT,2011,0.612
GUJARAT,2012,0.619
GUJARAT,2013,0.628
GUJARAT,2014,0.641
HARYANA,2001,0.554
HARYANA,2002,0.559
HARYANA,2003,0.573
HARYANA,2004,0.582
HARYANA,2005,0.591
HARYANA,2006,0.6
HARYANA,2007,0.61
HARYANA,2008,0.618
HARYANA,2009,0.623
HARYANA,2010,0.634
HARYANA,2011,0.643
HARYANA,2012,0.653
HARYANA,2013,0.662
HARYANA,2014,0.675
HIMACHAL PRADESH,2001,0.596
HIMACHAL PRADESH,2002,0.604
HIMACHAL PRADESH,2003,0.62
HIMACHAL PRADESH,2004,0.632
HIMACHAL PRADESH,2005,0.644
HIMACHAL PRADESH,2006,0.656
HIMACHAL PRADESH,2007,0.66
HIMACHAL PRADESH,2008,0.662
HIMACHAL PRADESH,2009,0.661
HIMACHAL PRADESH,2010,0.667
HIMACHAL PRADESH,2011,0.671
HIMACHAL PRADESH,2012,0.675
HIMACHAL PRADESH,2013,0.683
HIMACHAL PRADESH,2014,0.695
JAMMU & KASHMIR,2001,0.536
JAMMU & KASHMIR,2002,0.546
JAMMU & KASHMIR,2003,0.562
JAMMU & KASHMIR,2004,0.575
JAMMU & KASHMIR,2005,0.587
JAMMU & KASHMIR,2006,0.599
JAMMU & KASHMIR,2007,0.611
JAMMU & KASHMIR,2008,0.621
JAMMU & KASHMIR,2009,0.628
JAMMU & KASHMIR,2010,0.64
JAMMU & KASHMIR,2011,0.652
JAMMU & KASHMIR,2012,0.663
JAMMU & KASHMIR,2013,0.665
JAMMU & KASHMIR,2014,0.671
JHARKHAND,2001,0.564
JHARKHAND,2002,0.567
JHARKHAND,2003,0.577
JHARKHAND,2004,0.583
JHARKHAND,2005,0.588
JHARKHAND,2006,0.594
JHARKHAND,2007,0.589
JHARKHAND,2008,0.583
JHARKHAND,2009,0.576
JHARKHAND,2010,0.574
JHARKHAND,2011,0.572
JHARKHAND,2012,0.569
JHARKHAND,2013,0.572
JHARKHAND,2014,0.579
KARNATAKA,2001,0.524
KARNATAKA,2002,0.531
KARNATAKA,2003,0.545
KARNATAKA,2004,0.555
KARNATAKA,2005,0.565
KARNATAKA,2006,0.576
KARNATAKA,2007,0.585
KARNATAKA,2008,0.591
KARNATAKA,2009,0.595
KARNATAKA,2010,0.605
KARNATAKA,2011,0.613
KARNATAKA,2012,0.622
KARNATAKA,2013,0.632
KARNATAKA,2014,0.647
KERALA,2001,0.61
KERALA,2002,0.623
KERALA,2003,0.645
KERALA,2004,0.661
KERALA,2005,0.678
KERALA,2006,0.695
KERALA,2007,0.701
KERALA,2008,0.705
KERALA,2009,0.707
KERALA,2010,0.714
KERALA,2011,0.719
KERALA,2012,0.726
KERALA,2013,0.735
KERALA,2014,0.747
LAKSHADWEEP,2001,0.706
LAKSHADWEEP,2002,0.708
LAKSHADWEEP,2003,0.719
LAKSHADWEEP,2004,0.725
LAKSHADWEEP,2005,0.731
LAKSHADWEEP,2006,0.737
LAKSHADWEEP,2007,0.732
LAKSHADWEEP,2008,0.727
LAKSHADWEEP,2009,0.719
LAKSHADWEEP,2010,0.717
LAKSHADWEEP,2011,0.714
LAKSHADWEEP,2012,0.712
LAKSHADWEEP,2013,0.716
LAKSHADWEEP,2014,0.725
MADHYA PRADESH,2001,0.465
MADHYA PRADESH,2002,0.47
MADHYA PRADESH,2003,0.483
MADHYA PRADESH,2004,0.492
MADHYA PRADESH,2005,0.501
MADHYA PRADESH,2006,0.51
MADHYA PRADESH,2007,0.519
MADHYA PRADESH,2008,0.524
MADHYA PRADESH,2009,0.529
MADHYA PRADESH,2010,0.538
MADHYA PRADESH,2011,0.546
MADHYA PRADESH,2012,0.553
MADHYA PRADESH,2013,0.562
MADHYA PRADESH,2014,0.574
MAHARASHTRA,2001,0.563
MAHARASHTRA,2002,0.569
MAHARASHTRA,2003,0.584
MAHARASHTRA,2004,0.593
MAHARASHTRA,2005,0.602
MAHARASHTRA,2006,0.613
MAHARASHTRA,2007,0.622
MAHARASHTRA,2008,0.629
MAHARASHTRA,2009,0.634
MAHARASHTRA,2010,0.644
MAHARASHTRA,2011,0.652
MAHARASHTRA,2012,0.661
MAHARASHTRA,2013,0.666
MAHARASHTRA,2014,0.674
MANIPUR,2001,0.563
MANIPUR,2002,0.568
MANIPUR,2003,0.581
MANIPUR,2004,0.589
MANIPUR,2005,0.598
MANIPUR,2006,0.607
MANIPUR,2007,0.627
MANIPUR,2008,0.644
MANIPUR,2009,0.661
MANIPUR,2010,0.681
MANIPUR,2011,0.699
MANIPUR,2012,0.719
MANIPUR,2013,0.71
MANIPUR,2014,0.703
MEGHALAYA,2001,0.485
MEGHALAYA,2002,0.494
MEGHALAYA,2003,0.51
MEGHALAYA,2004,0.521
MEGHALAYA,2005,0.533
MEGHALAYA,2006,0.544
MEGHALAYA,2007,0.565
MEGHALAYA,2008,0.583
MEGHALAYA,2009,0.6
MEGHALAYA,2010,0.62
MEGHALAYA,2011,0.638
MEGHALAYA,2012,0.657
MEGHALAYA,2013,0.653
MEGHALAYA,2014,0.652
MIZORAM,2001,0.578
MIZORAM,2002,0.588
MIZORAM,2003,0.604
MIZORAM,2004,0.617
MIZORAM,2005,0.63
MIZORAM,2006,0.644
MIZORAM,2007,0.655
MIZORAM,2008,0.665
MIZORAM,2009,0.674
MIZORAM,2010,0.686
MIZORAM,2011,0.696
MIZORAM,2012,0.709
MIZORAM,2013,0.704
MIZORAM,2014,0.702
NAGALAND,2001,0.526
NAGALAND,2002,0.531
NAGALAND,2003,0.543
NAGALAND,2004,0.55
NAGALAND,2005,0.557
NAGALAND,2006,0.565
NAGALAND,2007,0.59
NAGALAND,2008,0.614
NAGALAND,2009,0.636
NAGALAND,2010,0.661
NAGALAND,2011,0.683
NAGALAND,2012,0.709
NAGALAND,2013,0.698
NAGALAND,2014,0.689
ODISHA,2001,0.462
ODISHA,2002,0.467
ODISHA,2003,0.479
ODISHA,2004,0.487
ODISHA,2005,0.494
ODISHA,2006,0.503
ODISHA,2007,0.512
ODISHA,2008,0.519
ODISHA,2009,0.525
ODISHA,2010,0.535
ODISHA,2011,0.545
ODISHA,2012,0.554
ODISHA,2013,0.563
ODISHA,2014,0.575
PUDUCHERRY,2001,0.731
PUDUCHERRY,2002,0.734
PUDUCHERRY,2003,0.745
PUDUCHERRY,2004,0.751
PUDUCHERRY,2005,0.757
PUDUCHERRY,2006,0.764
PUDUCHERRY,2007,0.759
PUDUCHERRY,2008,0.753
PUDUCHERRY,2009,0.745
PUDUCHERRY,2010,0.743
PUDUCHERRY,2011,0.739
PUDUCHERRY,2012,0.737
PUDUCHERRY,2013,0.733
PUDUCHERRY,2014,0.733
PUNJAB,2001,0.581
PUNJAB,2002,0.587
PUNJAB,2003,0.599
PUNJAB,2004,0.607
PUNJAB,2005,0.615
PUNJAB,2006,0.623
PUNJAB,2007,0.633
PUNJAB,2008,0.64
PUNJAB,2009,0.646
PUNJAB,2010,0.657
PUNJAB,2011,0.665
PUNJAB,2012,0.675
PUNJAB,2013,0.683
PUNJAB,2014,0.694
RAJASTHAN,2001,0.474
RAJASTHAN,2002,0.479
RAJASTHAN,2003,0.492
RAJASTHAN,2004,0.501
RAJASTHAN,2005,0.51
RAJASTHAN,2006,0.519
RAJASTHAN,2007,0.527
RAJASTHAN,2008,0.534
RAJASTHAN,2009,0.539
RAJASTHAN,2010,0.548
RAJASTHAN,2011,0.556
RAJASTHAN,2012,0.565
RAJASTHAN,2013,0.576
RAJASTHAN,2014,0.592
SIKKIM,2001,0.553
SIKKIM,2002,0.559
SIKKIM,2003,0.573
SIKKIM,2004,0.582
SIKKIM,2005,0.59
SIKKIM,2006,0.599
SIKKIM,2007,0.609
SIKKIM,2008,0.617
SIKKIM,2009,0.623
SIKKIM,2010,0.633
SIKKIM,2011,0.641
SIKKIM,2012,0.65
SIKKIM,2013,0.662
SIKKIM,2014,0.678
TAMIL NADU,2001,0.549
TAMIL NADU,2002,0.558
TAMIL NADU,2003,0.575
TAMIL NADU,2004,0.587
TAMIL NADU,2005,0.599
TAMIL NADU,2006,0.612
TAMIL NADU,2007,0.621
TAMIL NADU,2008,0.629
TAMIL NADU,2009,0.635
TAMIL NADU,2010,0.646
TAMIL NADU,2011,0.656
TAMIL NADU,2012,0.666
TAMIL NADU,2013,0.672
TAMIL NADU,2014,0.682
TELANGANA,2001,0.628
TELANGANA,2002,0.63
TELANGANA,2003,0.641
TELANGANA,2004,0.647
TELANGANA,2005,0.652
TELANGANA,2006,0.658
TELANGANA,2007,0.654
TELANGANA,2008,0.648
TELANGANA,2009,0.64
TELANGANA,2010,0.638
TELANGANA,2011,0.635
TELANGANA,2012,0.633
TELANGANA,2013,0.637
TELANGANA,2014,0.646
TOTAL (ALL INDIA),2001,0.502
TOTAL (ALL INDIA),2002,0.508
TOTAL (ALL INDIA),2003,0.521
TOTAL (ALL INDIA),2004,0.53
TOTAL (ALL INDIA),2005,0.539
TOTAL (ALL INDIA),2006,0.548
TOTAL (ALL INDIA),2007,0.558
TOTAL (ALL INDIA),2008,0.565
TOTAL (ALL INDIA),2009,0.571
TOTAL (ALL INDIA),2010,0.582
TOTAL (ALL INDIA),2011,0.59
TOTAL (ALL INDIA),2012,0.6
TOTAL (ALL INDIA),2013,0.607
TOTAL (ALL INDIA),2014,0.618
TRIPURA,2001,0.533
TRIPURA,2002,0.537
TRIPURA,2003,0.548
TRIPURA,2004,0.554
TRIPURA,2005,0.561
TRIPURA,2006,0.568
TRIPURA,2007,0.579
TRIPURA,2008,0.589
TRIPURA,2009,0.596
TRIPURA,2010,0.608
TRIPURA,2011,0.619
TRIPURA,2012,0.63
TRIPURA,2013,0.633
TRIPURA,2014,0.639
UTTAR PRADESH,2001,0.468
UTTAR PRADESH,2002,0.474
UTTAR PRADESH,2003,0.487
UTTAR PRADESH,2004,0.496
UTTAR PRADESH,2005,0.504
UTTAR PRADESH,2006,0.513
UTTAR PRADESH,2007,0.52
UTTAR PRADESH,2008,0.525
UTTAR PRADESH,2009,0.528
UTTAR PRADESH,2010,0.535
UTTAR PRADESH,2011,0.542
UTTAR PRADESH,2012,0.548
UTTAR PRADESH,2013,0.556
UTTAR PRADESH,2014,0.568
UTTARAKHAND,2001,0.631
UTTARAKHAND,2002,0.633
UTTARAKHAND,2003,0.644
UTTARAKHAND,2004,0.65
UTTARAKHAND,2005,0.656
UTTARAKHAND,2006,0.663
UTTARAKHAND,2007,0.658
UTTARAKHAND,2008,0.651
UTTARAKHAND,2009,0.643
UTTARAKHAND,2010,0.641
UTTARAKHAND,2011,0.638
UTTARAKHAND,2012,0.635
UTTARAKHAND,2013,0.643
UTTARAKHAND,2014,0.655
WEST BENGAL,2001,0.508
WEST BENGAL,2002,0.513
WEST BENGAL,2003,0.524
WEST BENGAL,2004,0.531
WEST BENGAL,2005,0.539
WEST BENGAL,2006,0.546
WEST BENGAL,2007,0.554
WEST BENGAL,2008,0.559
WEST BENGAL,2009,0.564
WEST BENGAL,2010,0.572
WEST BENGAL,2011,0.579
WEST BENGAL,2012,0.587
WEST BENGAL,2013,0.596
WEST BENGAL,2014,0.609