Year,Sex,Suicides,,,,,,
2001,Female,42192,,,,,,
2001,Male,66314,,,,,,
2002,Female,41085,,,,,,
2002,Male,69332,,,,,,
2003,Male,70221,,,,,,
2003,Female,40630,,,,,,
2004,Male,72651,,,,,,
2004,Female,41046,,,,,,
2005,Male,72916,,,,,,
2005,Female,40998,,,,,,
2006,Male,75702,,,,,,
2006,Female,42410,,,,,,
2007,Male,79295,,,,,,
2007,Female,43342,,,,,,
2008,Male,80544,,,,,,
2008,Female,44473,,,,,,
2009,Male,81471,,,,,,
2009,Female,45680,,,,,,
2010,Male,87180,,,,,,
2010,Female,47419,,,,,,
2011,Male,87839,,,,,,
2011,Female,47746,,,,,,
2012,Male,79773,,,,,,
2012,Female,40715,,,,,,
2013,Male,90543,,,,,,
2013,Female,44256,,,,,,
2014,Male,89129,,,,,,
2014,Female,42521,,,,,,