"","STATE.UT","Year","CAUSE","Male.upto.14.years","Male.15.29.years","Male.30.44.years","Male.45.59.years","Male.60.years.and.above","Total.Male","Female.upto.14.years","Female.15.29.years","Female.30.44.years","Female.45.59.years","Female.60.years.and.above","Total.Female","Transgender.upto.14.years","Transgender.15.29.years","Transgender.30.44.years","Transgender.45.59.years","Transgender.60.years.and.above","Total.Transgender","Grand.Total"
"1","ANDHRA PRADESH",2001,"Total",173,2058,2213,1566,369,6379,185,1871,1198,697,192,4143,0,0,0,0,0,0,10522
"2","ANDHRA PRADESH",2002,"Total",101,2173,2831,1935,531,7571,139,1804,1374,572,233,4122,0,0,0,0,0,0,11693
"3","ANDHRA PRADESH",2003,"Total",155,2270,2846,1745,497,7513,197,1685,1204,609,201,3896,0,0,0,0,0,0,11409
"4","ANDHRA PRADESH",2004,"Total",95,2562,3448,2175,802,9082,142,1959,1344,689,310,4444,0,0,0,0,0,0,13526
"5","ANDHRA PRADESH",2005,"Total",143,2444,3178,2156,944,8865,161,1904,1360,733,419,4577,0,0,0,0,0,0,13442
"6","ANDHRA PRADESH",2006,"Total",169,2696,3278,2032,688,8863,195,1987,1357,583,291,4413,0,0,0,0,0,0,13276
"7","ANDHRA PRADESH",2007,"Total",121,2936,3660,2304,928,9949,194,2139,1450,804,346,4933,0,0,0,0,0,0,14882
"8","ANDHRA PRADESH",2008,"Total",91,2714,3669,2477,770,9721,122,1882,1584,738,307,4633,0,0,0,0,0,0,14354
"9","ANDHRA PRADESH",2009,"Total",67,2727,3722,2586,785,9887,127,1934,1420,829,303,4613,0,0,0,0,0,0,14500
"10","ANDHRA PRADESH",2010,"Total",95,3530,3862,2566,894,10947,130,2145,1572,678,429,4954,0,0,0,0,0,0,15901
"11","ANDHRA PRADESH",2011,"Total",112,2828,3551,2710,919,10120,143,2284,1555,663,312,4957,0,0,0,0,0,0,15077
"12","ANDHRA PRADESH",2012,"Total",65,2543,3628,2340,951,9527,143,2046,1466,730,326,4711,0,0,0,0,0,0,14238
"13","ARUNACHAL PRADESH",2001,"Total",2,24,38,11,1,76,2,23,9,1,0,35,0,0,0,0,0,0,111
"14","ARUNACHAL PRADESH",2002,"Total",1,20,38,9,3,71,2,28,11,1,1,43,0,0,0,0,0,0,114
"15","ARUNACHAL PRADESH",2003,"Total",3,11,26,12,2,54,1,14,10,2,0,27,0,0,0,0,0,0,81
"16","ARUNACHAL PRADESH",2004,"Total",1,18,24,6,0,49,4,13,13,0,0,30,0,0,0,0,0,0,79
"17","ARUNACHAL PRADESH",2005,"Total",0,13,28,4,4,49,0,10,9,1,1,21,0,0,0,0,0,0,70
"18","ARUNACHAL PRADESH",2006,"Total",1,28,45,21,1,96,3,15,12,3,0,33,0,0,0,0,0,0,129
"19","ARUNACHAL PRADESH",2007,"Total",2,39,44,10,3,98,5,14,10,2,0,31,0,0,0,0,0,0,129
"20","ARUNACHAL PRADESH",2008,"Total",2,43,25,7,0,77,0,19,13,1,0,33,0,0,0,0,0,0,110
"21","ARUNACHAL PRADESH",2009,"Total",2,43,25,7,0,77,0,19,13,1,0,33,0,0,0,0,0,0,110
"22","ARUNACHAL PRADESH",2010,"Total",4,47,32,6,2,91,4,26,8,2,0,40,0,0,0,0,0,0,131
"23","ARUNACHAL PRADESH",2011,"Total",4,38,34,20,3,99,5,19,9,1,1,35,0,0,0,0,0,0,134
"24","ARUNACHAL PRADESH",2012,"Total",1,28,39,31,1,100,0,20,9,1,0,30,0,0,0,0,0,0,130
"25","ASSAM",2001,"Total",35,620,702,418,61,1836,19,383,274,119,16,811,0,0,0,0,0,0,2647
"26","ASSAM",2002,"Total",23,564,680,381,54,1702,24,376,275,108,25,808,0,0,0,0,0,0,2510
"27","ASSAM",2003,"Total",61,671,557,323,64,1676,48,512,225,101,34,920,0,0,0,0,0,0,2596
"28","ASSAM",2004,"Total",41,691,764,377,72,1945,18,446,296,120,14,894,0,0,0,0,0,0,2839
"29","ASSAM",2005,"Total",36,643,791,408,73,1951,37,425,299,116,18,895,0,0,0,0,0,0,2846
"30","ASSAM",2006,"Total",44,753,853,385,81,2116,32,413,348,107,15,915,0,0,0,0,0,0,3031
"31","ASSAM",2007,"Total",38,704,799,507,68,2116,33,427,331,120,35,946,0,0,0,0,0,0,3062
"32","ASSAM",2008,"Total",28,716,772,398,56,1970,17,503,360,120,19,1019,0,0,0,0,0,0,2989
"33","ASSAM",2009,"Total",27,655,712,425,63,1882,24,514,340,180,26,1084,0,0,0,0,0,0,2966
"34","ASSAM",2010,"Total",34,745,735,442,70,2026,32,489,302,122,22,967,0,0,0,0,0,0,2993
"35","ASSAM",2011,"Total",20,667,686,408,45,1826,10,410,341,126,13,900,0,0,0,0,0,0,2726
"36","ASSAM",2012,"Total",37,695,983,627,50,2392,16,362,322,163,9,872,0,0,0,0,0,0,3264
"37","BIHAR",2001,"Total",8,131,121,31,16,307,14,153,94,27,8,296,0,0,0,0,0,0,603
"38","BIHAR",2002,"Total",23,157,162,68,16,426,13,145,96,35,5,294,0,0,0,0,0,0,720
"39","BIHAR",2003,"Total",49,135,104,51,12,351,15,127,90,12,4,248,0,0,0,0,0,0,599
"40","BIHAR",2004,"Total",16,75,76,30,15,212,9,59,51,14,6,139,0,0,0,0,0,0,351
"41","BIHAR",2005,"Total",14,123,106,70,14,327,5,104,77,23,7,216,0,0,0,0,0,0,543
"42","BIHAR",2006,"Total",28,123,102,35,11,299,24,123,129,38,5,319,0,0,0,0,0,0,618
"43","BIHAR",2007,"Total",33,212,146,115,28,534,44,196,117,51,23,431,0,0,0,0,0,0,965
"44","BIHAR",2008,"Total",35,218,202,97,57,609,33,165,145,40,23,406,0,0,0,0,0,0,1015
"45","BIHAR",2009,"Total",22,202,193,75,22,514,25,228,232,41,11,537,0,0,0,0,0,0,1051
"46","BIHAR",2010,"Total",40,228,272,136,36,712,54,227,159,53,21,514,0,0,0,0,0,0,1226
"47","BIHAR",2011,"Total",16,150,163,88,29,446,41,149,126,19,14,349,0,0,0,0,0,0,795
"48","BIHAR",2012,"Total",5,155,212,63,20,455,6,135,123,29,11,304,0,0,0,0,0,0,759
"49","CHHATTISGARH",2001,"Total",44,792,955,563,286,2640,49,634,418,193,91,1385,0,0,0,0,0,0,4025
"50","CHHATTISGARH",2002,"Total",85,794,928,606,216,2629,62,594,410,182,73,1321,0,0,0,0,0,0,3950
"51","CHHATTISGARH",2003,"Total",103,846,878,554,211,2592,106,622,373,161,65,1327,0,0,0,0,0,0,3919
"52","CHHATTISGARH",2004,"Total",77,879,1057,707,266,2986,92,654,460,225,78,1509,0,0,0,0,0,0,4495
"53","CHHATTISGARH",2005,"Total",160,1062,1174,676,233,3305,73,742,465,209,87,1576,0,0,0,0,0,0,4881
"54","CHHATTISGARH",2006,"Total",112,1067,1085,590,206,3060,96,775,428,188,79,1566,0,0,0,0,0,0,4626
"55","CHHATTISGARH",2007,"Total",78,1047,1123,688,320,3256,59,731,476,232,85,1583,0,0,0,0,0,0,4839
"56","CHHATTISGARH",2008,"Total",65,1125,1156,685,217,3248,82,854,478,218,65,1697,0,0,0,0,0,0,4945
"57","CHHATTISGARH",2009,"Total",104,1225,1342,937,346,3954,76,873,587,291,102,1929,0,0,0,0,0,0,5883
"58","CHHATTISGARH",2010,"Total",110,1384,1538,1102,411,4545,58,862,647,292,118,1977,0,0,0,0,0,0,6522
"59","CHHATTISGARH",2011,"Total",102,1428,1501,1081,415,4527,86,988,638,376,141,2229,0,0,0,0,0,0,6756
"60","CHHATTISGARH",2012,"Total",83,1304,1394,919,314,4014,78,766,443,232,121,1640,0,0,0,0,0,0,5654
"61","GOA",2001,"Total",0,43,73,35,16,167,3,30,32,6,18,89,0,0,0,0,0,0,256
"62","GOA",2002,"Total",0,73,90,46,17,226,2,40,26,9,6,83,0,0,0,0,0,0,309
"63","GOA",2003,"Total",0,61,96,42,14,213,4,51,18,11,3,87,0,0,0,0,0,0,300
"64","GOA",2004,"Total",6,73,82,44,7,212,5,46,31,14,6,102,0,0,0,0,0,0,314
"65","GOA",2005,"Total",2,54,85,40,16,197,2,42,15,15,11,85,0,0,0,0,0,0,282
"66","GOA",2006,"Total",1,60,69,40,13,183,6,40,22,13,11,92,0,0,0,0,0,0,275
"67","GOA",2007,"Total",1,54,69,36,18,178,2,47,25,14,4,92,0,0,0,0,0,0,270
"68","GOA",2008,"Total",0,55,84,29,15,183,3,54,26,10,11,104,0,0,0,0,0,0,287
"69","GOA",2009,"Total",1,50,72,44,17,184,2,48,22,14,8,94,0,0,0,0,0,0,278
"70","GOA",2010,"Total",2,69,81,63,21,236,3,37,21,9,16,86,0,0,0,0,0,0,322
"71","GOA",2011,"Total",5,52,81,39,18,195,3,51,26,9,9,98,0,0,0,0,0,0,293
"72","GOA",2012,"Total",5,53,78,44,16,196,3,37,30,9,14,93,0,0,0,0,0,0,289
"73","GUJARAT",2001,"Total",40,1002,1019,452,136,2649,58,1030,657,257,140,2142,0,0,0,0,0,0,4791
"74","GUJARAT",2002,"Total",25,1022,996,518,145,2706,39,946,590,258,105,1938,0,0,0,0,0,0,4644
"75","GUJARAT",2003,"Total",22,931,996,523,178,2650,43,873,581,260,159,1916,0,0,0,0,0,0,4566
"76","GUJARAT",2004,"Total",34,988,1037,611,180,2850,29,927,604,257,109,1926,0,0,0,0,0,0,4776
"77","GUJARAT",2005,"Total",25,980,1082,623,192,2902,33,851,601,259,119,1863,0,0,0,0,0,0,4765
"78","GUJARAT",2006,"Total",30,986,1134,694,204,3048,28,925,614,298,122,1987,0,0,0,0,0,0,5035
"79","GUJARAT",2007,"Total",33,1189,1266,673,214,3375,35,1012,688,311,159,2205,0,0,0,0,0,0,5580
"80","GUJARAT",2008,"Total",25,1250,1422,787,251,3735,39,1090,786,347,168,2430,0,0,0,0,0,0,6165
"81","GUJARAT",2009,"Total",27,1255,1404,737,248,3671,30,1159,771,348,177,2485,0,0,0,0,0,0,6156
"82","GUJARAT",2010,"Total",37,1343,1412,758,263,3813,42,1105,722,367,158,2394,0,0,0,0,0,0,6207
"83","GUJARAT",2011,"Total",35,1424,1398,800,255,3912,53,1093,755,399,170,2470,0,0,0,0,0,0,6382
"84","GUJARAT",2012,"Total",52,1554,1588,882,286,4362,57,1246,844,449,152,2748,0,0,0,0,0,0,7110
"85","HARYANA",2001,"Total",34,519,499,236,76,1364,20,322,220,56,25,643,0,0,0,0,0,0,2007
"86","HARYANA",2002,"Total",36,530,623,296,85,1570,20,337,203,53,17,630,0,0,0,0,0,0,2200
"87","HARYANA",2003,"Total",34,576,602,298,103,1613,25,314,185,66,24,614,0,0,0,0,0,0,2227
"88","HARYANA",2004,"Total",34,516,544,255,105,1454,22,307,204,72,23,628,0,0,0,0,0,0,2082
"89","HARYANA",2005,"Total",28,510,608,274,73,1493,15,257,187,76,18,553,0,0,0,0,0,0,2046
"90","HARYANA",2006,"Total",25,610,701,338,92,1766,21,252,177,71,29,550,0,0,0,0,0,0,2316
"91","HARYANA",2007,"Total",28,660,720,340,104,1852,8,313,172,65,23,581,0,0,0,0,0,0,2433
"92","HARYANA",2008,"Total",47,687,774,322,144,1974,39,274,255,85,29,682,0,0,0,0,0,0,2656
"93","HARYANA",2009,"Total",38,692,659,338,88,1815,34,294,245,95,20,688,0,0,0,0,0,0,2503
"94","HARYANA",2010,"Total",24,839,738,455,122,2178,17,320,242,109,29,717,0,0,0,0,0,0,2895
"95","HARYANA",2011,"Total",70,961,885,441,107,2464,25,380,252,107,17,781,0,0,0,0,0,0,3245
"96","HARYANA",2012,"Total",43,766,737,397,128,2071,28,357,234,103,34,756,0,0,0,0,0,0,2827
"97","HIMACHAL PRADESH",2001,"Total",1,54,64,49,9,177,3,70,38,14,5,130,0,0,0,0,0,0,307
"98","HIMACHAL PRADESH",2002,"Total",4,87,82,29,6,208,3,76,37,8,2,126,0,0,0,0,0,0,334
"99","HIMACHAL PRADESH",2003,"Total",2,78,81,63,16,240,5,72,46,21,2,146,0,0,0,0,0,0,386
"100","HIMACHAL PRADESH",2004,"Total",5,77,82,54,18,236,4,71,42,14,4,135,0,0,0,0,0,0,371
"101","HIMACHAL PRADESH",2005,"Total",2,69,86,42,15,214,1,81,47,13,3,145,0,0,0,0,0,0,359
"102","HIMACHAL PRADESH",2006,"Total",4,90,121,65,21,301,1,67,43,37,8,156,0,0,0,0,0,0,457
"103","HIMACHAL PRADESH",2007,"Total",2,92,98,38,28,258,0,72,46,11,15,144,0,0,0,0,0,0,402
"104","HIMACHAL PRADESH",2008,"Total",6,140,115,116,40,417,10,103,57,25,18,213,0,0,0,0,0,0,630
"105","HIMACHAL PRADESH",2009,"Total",5,126,128,72,35,366,11,84,55,26,18,194,0,0,0,0,0,0,560
"106","HIMACHAL PRADESH",2010,"Total",8,117,125,73,25,348,4,97,51,31,11,194,0,0,0,0,0,0,542
"107","HIMACHAL PRADESH",2011,"Total",5,98,88,46,32,269,5,66,62,30,11,174,0,0,0,0,0,0,443
"108","HIMACHAL PRADESH",2012,"Total",10,112,119,72,41,354,6,75,52,26,15,174,0,0,0,0,0,0,528
"109","JAMMU & KASHMIR",2001,"Total",2,29,31,18,11,91,2,31,21,5,3,62,0,0,0,0,0,0,153
"110","JAMMU & KASHMIR",2002,"Total",4,38,36,14,4,96,0,61,21,6,0,88,0,0,0,0,0,0,184
"111","JAMMU & KASHMIR",2003,"Total",1,30,19,9,4,63,5,43,21,3,3,75,0,0,0,0,0,0,138
"112","JAMMU & KASHMIR",2004,"Total",0,27,16,8,0,51,0,29,29,3,0,61,0,0,0,0,0,0,112
"113","JAMMU & KASHMIR",2005,"Total",3,113,59,17,4,196,4,54,36,1,3,98,0,0,0,0,0,0,294
"114","JAMMU & KASHMIR",2006,"Total",1,64,56,25,6,152,0,68,33,9,0,110,0,0,0,0,0,0,262
"115","JAMMU & KASHMIR",2007,"Total",0,65,57,23,8,153,0,51,24,4,2,81,0,0,0,0,0,0,234
"116","JAMMU & KASHMIR",2008,"Total",1,56,63,41,16,177,1,80,51,1,0,133,0,0,0,0,0,0,310
"117","JAMMU & KASHMIR",2009,"Total",0,44,74,34,16,168,2,81,54,10,6,153,0,0,0,0,0,0,321
"118","JAMMU & KASHMIR",2010,"Total",3,46,40,26,7,122,3,86,39,8,1,137,0,0,0,0,0,0,259
"119","JAMMU & KASHMIR",2011,"Total",4,40,53,39,8,144,5,87,39,11,1,143,0,0,0,0,0,0,287
"120","JAMMU & KASHMIR",2012,"Total",2,56,74,40,20,192,2,101,68,19,32,222,0,0,0,0,0,0,414
"121","JHARKHAND",2001,"Total",4,45,56,26,10,141,5,50,31,23,0,109,0,0,0,0,0,0,250
"122","JHARKHAND",2002,"Total",9,45,52,36,11,153,4,47,40,28,0,119,0,0,0,0,0,0,272
"123","JHARKHAND",2003,"Total",9,45,52,36,11,153,4,47,40,28,0,119,0,0,0,0,0,0,272
"124","JHARKHAND",2004,"Total",9,72,80,61,11,233,4,65,70,45,0,184,0,0,0,0,0,0,417
"125","JHARKHAND",2005,"Total",8,181,187,133,14,523,13,112,128,28,4,285,0,0,0,0,0,0,808
"126","JHARKHAND",2006,"Total",21,190,193,95,22,521,15,158,120,38,4,335,0,0,0,0,0,0,856
"127","JHARKHAND",2007,"Total",46,261,316,197,60,880,22,178,135,54,20,409,0,0,0,0,0,0,1289
"128","JHARKHAND",2008,"Total",20,171,238,134,39,602,31,113,108,50,7,309,0,0,0,0,0,0,911
"129","JHARKHAND",2009,"Total",16,203,272,202,51,744,22,135,124,64,23,368,0,0,0,0,0,0,1112
"130","JHARKHAND",2010,"Total",84,252,275,172,12,795,16,175,142,80,24,437,0,0,0,0,0,0,1232
"131","JHARKHAND",2011,"Total",13,324,263,179,46,825,18,189,127,44,9,387,0,0,0,0,0,0,1212
"132","JHARKHAND",2012,"Total",23,297,267,198,53,838,34,217,152,70,8,481,0,0,0,0,0,0,1319
"133","KARNATAKA",2001,"Total",180,2242,2880,1836,733,7871,184,1817,1118,626,265,4010,0,0,0,0,0,0,11881
"134","KARNATAKA",2002,"Total",121,2285,3031,1832,811,8080,204,1796,1282,568,340,4190,0,0,0,0,0,0,12270
"135","KARNATAKA",2003,"Total",142,2426,2895,2002,910,8375,154,1631,1281,611,309,3986,0,0,0,0,0,0,12361
"136","KARNATAKA",2004,"Total",159,2329,2928,1862,740,8018,146,1688,1231,597,257,3919,0,0,0,0,0,0,11937
"137","KARNATAKA",2005,"Total",104,2261,2691,1952,699,7707,87,1614,1226,651,272,3850,0,0,0,0,0,0,11557
"138","KARNATAKA",2006,"Total",151,2307,2840,2025,725,8048,131,1753,1325,690,265,4164,0,0,0,0,0,0,12212
"139","KARNATAKA",2007,"Total",109,2154,2984,2419,726,8392,127,1523,1235,753,274,3912,0,0,0,0,0,0,12304
"140","KARNATAKA",2008,"Total",54,2198,2870,2303,791,8216,80,1657,1261,690,318,4006,0,0,0,0,0,0,12222
"141","KARNATAKA",2009,"Total",203,1819,2903,2331,953,8209,163,1306,1252,895,370,3986,0,0,0,0,0,0,12195
"142","KARNATAKA",2010,"Total",87,2070,2865,2388,997,8407,168,1602,1248,835,391,4244,0,0,0,0,0,0,12651
"143","KARNATAKA",2011,"Total",220,2326,3044,2099,783,8472,88,1612,1263,875,312,4150,0,0,0,0,0,0,12622
"144","KARNATAKA",2012,"Total",78,2358,3157,2240,763,8596,78,1786,1263,756,274,4157,0,0,0,0,0,0,12753
"145","KERALA",2001,"Total",43,1109,2107,2240,1288,6787,48,794,798,666,479,2785,0,0,0,0,0,0,9572
"146","KERALA",2002,"Total",54,1264,2196,2177,1474,7165,65,689,840,625,426,2645,0,0,0,0,0,0,9810
"147","KERALA",2003,"Total",50,1200,2032,2216,1437,6935,49,774,647,544,489,2503,0,0,0,0,0,0,9438
"148","KERALA",2004,"Total",48,1107,2067,2110,1266,6598,53,729,654,536,483,2455,0,0,0,0,0,0,9053
"149","KERALA",2005,"Total",46,1238,2119,2207,1220,6830,50,690,632,576,466,2414,0,0,0,0,0,0,9244
"150","KERALA",2006,"Total",54,1066,1991,2199,1273,6583,60,682,640,602,459,2443,0,0,0,0,0,0,9026
"151","KERALA",2007,"Total",48,1097,2069,2273,1101,6588,43,610,681,647,393,2374,0,0,0,0,0,0,8962
"152","KERALA",2008,"Total",26,1016,2048,2001,1039,6130,42,666,692,637,402,2439,0,0,0,0,0,0,8569
"153","KERALA",2009,"Total",38,1191,1979,2042,1072,6322,30,705,616,633,449,2433,0,0,0,0,0,0,8755
"154","KERALA",2010,"Total",64,1040,1973,2171,1098,6346,46,608,626,544,416,2240,0,0,0,0,0,0,8586
"155","KERALA",2011,"Total",29,927,1900,2209,1147,6212,36,588,660,545,390,2219,0,0,0,0,0,0,8431
"156","KERALA",2012,"Total",31,921,1976,2235,1246,6409,30,574,530,556,391,2081,0,0,0,0,0,0,8490
"157","MADHYA PRADESH",2001,"Total",130,1417,1129,570,290,3536,115,1918,812,318,161,3324,0,0,0,0,0,0,6860
"158","MADHYA PRADESH",2002,"Total",92,1455,1118,633,281,3579,90,1865,861,342,162,3320,0,0,0,0,0,0,6899
"159","MADHYA PRADESH",2003,"Total",94,1379,1214,566,285,3538,89,1879,860,271,125,3224,0,0,0,0,0,0,6762
"160","MADHYA PRADESH",2004,"Total",109,1408,1202,595,320,3634,110,1753,819,321,158,3161,0,0,0,0,0,0,6795
"161","MADHYA PRADESH",2005,"Total",83,1124,949,472,223,2851,78,1527,684,212,96,2597,0,0,0,0,0,0,5448
"162","MADHYA PRADESH",2006,"Total",96,1167,1227,714,299,3503,83,1559,890,285,115,2932,0,0,0,0,0,0,6435
"163","MADHYA PRADESH",2007,"Total",93,1313,1126,676,262,3470,112,1673,726,229,119,2859,0,0,0,0,0,0,6329
"164","MADHYA PRADESH",2008,"Total",75,1592,1501,815,382,4365,80,1833,945,305,101,3264,0,0,0,0,0,0,7629
"165","MADHYA PRADESH",2009,"Total",266,1758,1584,1088,404,5100,242,2096,1142,376,157,4013,0,0,0,0,0,0,9113
"166","MADHYA PRADESH",2010,"Total",215,1790,1668,990,424,5087,161,2075,1105,392,183,3916,0,0,0,0,0,0,9003
"167","MADHYA PRADESH",2011,"Total",156,1977,1759,916,432,5240,163,2056,1187,429,184,4019,0,0,0,0,0,0,9259
"168","MADHYA PRADESH",2012,"Total",144,1996,1988,1148,498,5774,134,2060,1114,486,207,4001,0,0,0,0,0,0,9775
"169","MAHARASHTRA",2001,"Total",128,2805,3670,1938,797,9338,133,2633,1607,617,290,5280,0,0,0,0,0,0,14618
"170","MAHARASHTRA",2002,"Total",102,2844,3670,1866,965,9447,110,2645,1483,538,306,5082,0,0,0,0,0,0,14529
"171","MAHARASHTRA",2003,"Total",99,3066,3747,2106,792,9810,92,2486,1552,561,259,4950,0,0,0,0,0,0,14760
"172","MAHARASHTRA",2004,"Total",87,3080,3738,2138,860,9903,93,2573,1353,536,271,4826,0,0,0,0,0,0,14729
